SecondaryStoreID	StoreName	DateOfBusiness	TotalSales	Count_TC	Salestype_Ctg	Region
6701003	Kiara Bay	2025-03-07	433	11	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-07		6	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-07	532	15	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-08	741	24	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-08	716	19	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-08	813	23	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-08		12	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-08	1051	30	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-09	713	26	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-09	742	20	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-09	1030	24	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-09		5	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-09	1015	32	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-10	467	9	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-10	325	9	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-10	944	22	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-10		8	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-10	258	11	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-11	654	22	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-11	319	8	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-11	667	17	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-11		8	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-11	729	22	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-12	505	17	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-12	189	5	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-12	808	20	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-12		9	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-12	468	14	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-13	802	32	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-13	115	4	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-13	779	20	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-13		10	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-13	690	24	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-14	1487	46	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-14	542	13	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-14	1178	31	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-14		9	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-14	1207	34	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-15	917	36	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-15	272	5	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-15	1436	37	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-15		7	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-15	911	26	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-16	1304	37	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-16	379	10	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-16	983	30	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-16		7	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-16	1045	31	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-17	428	19	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-17	167	5	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-17	742	21	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-17		8	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-17	472	16	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-18	964	32	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-18	291	8	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-18	939	24	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-18	1024	29	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-19	395	14	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-19	270	8	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-19	492	13	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-19		14	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-19	592	20	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-20	1069	34	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-20	427	11	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-20	1133	28	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-20		9	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-20	698	20	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-21	680	25	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-21	505	13	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-21	1086	29	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-21		7	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-21	653	24	TAKE AWAY	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-22	1590	48	DINE IN	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-22	260	8	FOOD PANDA	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-22	542	15	GRAB FOOD	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-22		8	NONE	FEDERAL TERRITORY
6701003	Kiara Bay	2025-03-22	1324	34	TAKE AWAY	FEDERAL TERRITORY
